FID_wwf_bi,BIOME,biome2,name,area,FID_www_in,FID_WWW_ed,OBJECTID,NAME_1,at_risk,Map_number,COUNTRY,TYPE,Region,FID_contin,FID_1,CONTINENT,sq_km
2,3,3,Tropical_and_subtropical_coniferous_forests,0,54,54,73,,,,Nicaragua,WCS areas of work,Mesoamerica,3,4,North America,8803
2,3,3,Tropical_and_subtropical_coniferous_forests,0,56,56,80,Meso Reef,,,Belize,WCS areas of work,Mesoamerica,3,4,North America,7
2,3,3,Tropical_and_subtropical_coniferous_forests,0,103,102,144,,,,Indonesia,,,1,2,Asia,894
2,3,3,Tropical_and_subtropical_coniferous_forests,0,106,105,147,Greater Gila,,,USA,,,3,4,North America,57
3,4,4,Temperate_broadleaf_and_mixed_forests,0,33,33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,Patagonia,5,6,South America,5276
3,4,4,Temperate_broadleaf_and_mixed_forests,0,35,35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,Patagonia,5,6,South America,40277
3,4,4,Temperate_broadleaf_and_mixed_forests,0,37,37,49,Mediterraneo,,,Chile,WCS areas of work,Patagonia,5,6,South America,3413
3,4,4,Temperate_broadleaf_and_mixed_forests,0,66,65,94,Northeast Asia Tiger Stronghold,,,"Russia, China","WCS areas of work, F",Temperate Asia,1,2,Asia,371695
3,4,4,Temperate_broadleaf_and_mixed_forests,0,83,82,117,,,,Myanmar,,Greater Mekong,1,2,Asia,3565
3,4,4,Temperate_broadleaf_and_mixed_forests,0,85,84,119,,,,Myanmar,,Greater Mekong,1,2,Asia,1985
4,5,5,Temperate_coniferous_forests,0,85,84,119,,,,Myanmar,,Greater Mekong,1,2,Asia,412
4,5,5,Temperate_coniferous_forests,0,88,87,124,,,,Canada,,Northern Boreal,3,4,North America,248
4,5,5,Temperate_coniferous_forests,0,90,89,126,Iinnii Home  Land,,,USA,WCS areas of work,,3,4,North America,43446
4,5,5,Temperate_coniferous_forests,0,91,90,127,High Divide,,,USA,WCS areas of work,,3,4,North America,167529
